"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"25-Oct-2024","EQ","7,450.00","7,511.20","7,064.05","7,488.00","7,360.35","7,361.45","7,273.64","8,345.00","1,945.00","5,90,268","4,29,33,96,115.70","72,272"
"24-Oct-2024","EQ","7,569.20","7,640.40","7,386.75","7,511.30","7,518.00","7,488.00","7,500.84","8,345.00","1,945.00","4,48,738","3,36,59,11,979.65","64,389"
"23-Oct-2024","EQ","7,468.00","7,585.00","7,450.00","7,497.35","7,512.35","7,511.30","7,517.79","8,345.00","1,945.00","5,05,590","3,80,09,20,406.35","72,975"
"22-Oct-2024","EQ","7,634.95","7,666.50","7,469.40","7,606.55","7,517.50","7,497.35","7,528.04","8,345.00","1,945.00","6,10,564","4,59,63,53,187.30","82,299"
"21-Oct-2024","EQ","7,820.00","7,850.00","7,552.50","7,768.05","7,632.00","7,606.55","7,659.37","8,345.00","1,945.00","6,62,166","5,07,17,74,875.75","73,247"
"18-Oct-2024","EQ","7,720.00","7,800.00","7,630.10","7,719.65","7,765.80","7,768.05","7,740.51","8,345.00","1,945.00","5,71,161","4,42,10,78,582.45","78,670"
"17-Oct-2024","EQ","7,780.30","7,880.05","7,620.20","7,805.80","7,731.35","7,719.65","7,722.71","8,345.00","1,945.00","9,97,450","7,70,30,14,802.35","1,01,784"
"16-Oct-2024","EQ","8,110.00","8,133.10","7,766.50","8,124.25","7,830.90","7,805.80","7,879.16","8,345.00","1,945.00","9,00,545","7,09,55,38,482.75","1,24,551"
"15-Oct-2024","EQ","8,224.00","8,260.00","8,090.00","8,191.85","8,125.00","8,124.25","8,138.72","8,345.00","1,945.00","4,60,534","3,74,81,57,177.70","49,216"
"14-Oct-2024","EQ","8,280.05","8,345.00","8,163.70","8,234.95","8,200.00","8,191.85","8,236.78","8,345.00","1,945.00","4,17,498","3,43,88,38,231.70","54,359"
"11-Oct-2024","EQ","8,069.00","8,308.80","7,950.00","8,028.85","8,231.00","8,234.95","8,165.73","8,322.20","1,945.00","8,00,644","6,53,78,39,541.45","92,517"
"10-Oct-2024","EQ","8,200.00","8,270.95","8,012.00","8,220.85","8,035.00","8,028.85","8,099.32","8,322.20","1,945.00","6,06,292","4,91,05,51,212.75","92,662"
"09-Oct-2024","EQ","8,089.00","8,322.20","8,035.00","8,041.95","8,230.00","8,220.85","8,215.06","8,322.20","1,945.00","12,60,784","10,35,74,12,158.30","1,48,653"
"08-Oct-2024","EQ","7,520.00","8,073.40","7,451.00","7,449.50","8,042.00","8,041.95","7,875.22","8,073.40","1,945.00","22,78,240","17,94,16,36,634.15","2,02,459"
"07-Oct-2024","EQ","7,307.20","7,503.90","7,284.00","7,353.30","7,489.90","7,449.50","7,392.73","7,939.90","1,945.00","8,54,385","6,31,62,37,637.30","79,545"
"04-Oct-2024","EQ","7,441.00","7,455.95","7,272.00","7,487.90","7,379.00","7,353.30","7,386.85","7,939.90","1,945.00","9,38,897","6,93,54,93,701.00","1,03,449"
"03-Oct-2024","EQ","7,569.50","7,654.50","7,451.00","7,612.70","7,470.00","7,487.90","7,526.04","7,939.90","1,945.00","7,41,293","5,57,89,99,647.35","1,08,758"
"01-Oct-2024","EQ","7,600.00","7,647.45","7,522.25","7,574.65","7,635.00","7,612.70","7,594.63","7,939.90","1,945.00","5,59,721","4,25,08,75,218.15","72,941"
"30-Sep-2024","EQ","7,814.75","7,833.95","7,483.75","7,833.70","7,560.10","7,574.65","7,627.60","7,939.90","1,945.00","11,17,618","8,52,47,47,282.45","1,35,938"
"27-Sep-2024","EQ","7,899.95","7,937.95","7,736.40","7,845.40","7,792.00","7,833.70","7,833.94","7,939.90","1,945.00","1,11,79,751","87,58,15,50,298.90","1,85,055"
"26-Sep-2024","EQ","7,724.90","7,939.90","7,710.55","7,614.90","7,840.00","7,845.40","7,842.47","7,939.90","1,945.00","17,12,253","13,42,82,99,464.00","1,48,361"
"25-Sep-2024","EQ","7,618.25","7,742.00","7,569.55","7,621.35","7,615.00","7,614.90","7,642.56","7,742.00","1,945.00","5,76,171","4,40,34,22,854.60","58,948"
"24-Sep-2024","EQ","7,639.95","7,682.00","7,580.60","7,623.45","7,608.00","7,621.35","7,623.77","7,682.00","1,945.00","6,13,798","4,67,94,54,001.50","61,325"
"23-Sep-2024","EQ","7,520.95","7,645.00","7,464.15","7,465.15","7,615.20","7,623.45","7,592.99","7,645.00","1,945.00","5,10,496","3,87,61,92,651.40","71,803"
"20-Sep-2024","EQ","7,350.00","7,508.00","7,281.85","7,326.15","7,490.40","7,465.15","7,424.09","7,508.80","1,945.00","7,98,170","5,92,56,84,082.75","78,559"
"19-Sep-2024","EQ","7,456.00","7,456.00","7,183.55","7,336.00","7,310.15","7,326.15","7,289.26","7,508.80","1,945.00","3,95,523","2,88,30,68,716.00","48,501"
"18-Sep-2024","EQ","7,435.00","7,453.00","7,245.85","7,403.45","7,310.00","7,336.00","7,313.42","7,508.80","1,945.00","3,88,287","2,83,97,05,805.95","51,191"
"17-Sep-2024","EQ","7,415.00","7,508.80","7,325.00","7,318.80","7,400.00","7,403.45","7,396.88","7,508.80","1,945.00","7,53,643","5,57,46,07,248.00","86,046"
"16-Sep-2024","EQ","7,270.00","7,384.95","7,211.00","7,233.15","7,375.95","7,318.80","7,273.32","7,384.95","1,945.00","5,02,100","3,65,19,36,053.65","54,136"
"13-Sep-2024","EQ","7,248.50","7,281.10","7,200.05","7,210.50","7,226.00","7,233.15","7,233.58","7,325.00","1,945.00","4,68,707","3,39,04,28,252.35","60,907"
"12-Sep-2024","EQ","7,198.00","7,309.00","7,142.85","7,148.85","7,218.60","7,210.50","7,209.43","7,325.00","1,945.00","5,72,357","4,12,63,65,131.50","59,237"
"11-Sep-2024","EQ","7,160.95","7,219.65","7,107.70","7,137.95","7,150.00","7,148.85","7,164.52","7,325.00","1,945.00","4,28,437","3,06,95,45,208.55","54,397"
"10-Sep-2024","EQ","7,156.00","7,200.00","7,095.50","7,136.65","7,149.95","7,137.95","7,142.86","7,325.00","1,945.00","3,76,043","2,68,60,21,840.60","56,602"
"09-Sep-2024","EQ","7,104.00","7,155.70","7,048.05","7,103.55","7,124.00","7,136.65","7,110.42","7,325.00","1,945.00","3,49,967","2,48,84,10,771.40","46,847"
"06-Sep-2024","EQ","7,184.90","7,189.95","7,060.00","7,167.65","7,107.55","7,103.55","7,119.98","7,325.00","1,945.00","3,84,793","2,73,97,19,730.10","57,348"
"05-Sep-2024","EQ","7,169.90","7,209.00","7,090.25","7,139.90","7,161.00","7,167.65","7,159.31","7,325.00","1,945.00","6,67,571","4,77,93,46,158.65","99,542"
