"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Jan-2025","EQ","380.55","384.25","376.50","378.75","380.05","379.80","379.59","543.55","368.00","65,42,121","2,48,33,48,961.15","1,11,441"
"06-Jan-2025","EQ","394.05","394.05","377.15","393.65","379.45","378.75","382.02","543.55","368.00","87,74,141","3,35,18,75,056.20","1,10,038"
"03-Jan-2025","EQ","393.00","399.30","389.50","392.95","394.10","393.65","394.58","543.55","368.00","71,22,319","2,81,03,09,371.55","83,399"
"02-Jan-2025","EQ","388.40","393.95","384.05","386.40","392.75","392.95","389.66","543.55","368.00","75,38,972","2,93,76,57,950.35","91,402"
"01-Jan-2025","EQ","383.55","388.15","382.50","384.15","386.50","386.40","386.24","543.55","368.00","35,84,876","1,38,46,05,323.40","53,343"
"31-Dec-2024","EQ","377.90","384.70","376.10","377.90","384.40","384.15","380.92","543.55","368.00","76,86,615","2,92,80,17,290.35","93,487"
"30-Dec-2024","EQ","380.50","382.30","375.70","380.50","380.50","377.90","378.42","543.55","368.00","2,23,28,728","8,44,95,58,818.50","1,33,596"
"27-Dec-2024","EQ","387.50","388.45","379.55","386.60","381.20","380.50","383.66","543.55","362.40","59,09,271","2,26,71,41,458.25","91,686"
"26-Dec-2024","EQ","386.40","390.30","385.05","384.50","386.90","386.60","387.73","543.55","362.40","41,90,081","1,62,46,07,047.85","78,496"
"24-Dec-2024","EQ","384.85","386.75","381.40","382.95","385.30","384.50","384.34","543.55","362.40","42,42,999","1,63,07,48,497.75","62,079"
"23-Dec-2024","EQ","386.00","388.60","382.40","382.00","383.50","382.95","385.45","543.55","362.40","51,63,415","1,99,02,35,070.80","75,721"
"20-Dec-2024","EQ","393.00","393.70","380.50","391.95","383.00","382.00","386.38","543.55","342.30","79,23,854","3,06,16,51,230.40","1,20,289"
"19-Dec-2024","EQ","390.95","394.50","387.00","395.80","393.00","391.95","391.44","543.55","342.30","57,45,829","2,24,91,53,551.15","1,17,394"
"18-Dec-2024","EQ","403.50","404.80","394.55","402.90","396.30","395.80","397.50","543.55","342.30","71,76,597","2,85,26,91,719.40","1,37,432"
"17-Dec-2024","EQ","410.45","410.95","402.00","410.45","402.50","402.90","404.83","543.55","342.30","50,70,262","2,05,26,06,417.35","1,08,718"
"16-Dec-2024","EQ","410.50","412.85","406.50","410.30","410.50","410.45","409.23","543.55","342.30","54,34,635","2,22,40,25,716.70","91,909"
"13-Dec-2024","EQ","409.10","411.25","402.00","409.10","411.10","410.30","406.22","543.55","342.30","94,39,175","3,83,43,78,575.65","1,26,569"
"12-Dec-2024","EQ","416.50","417.85","407.10","416.95","407.90","409.10","410.79","543.55","342.30","94,09,378","3,86,52,92,100.35","1,43,661"
"11-Dec-2024","EQ","416.00","419.65","415.55","414.05","416.90","416.95","417.19","543.55","342.30","53,53,413","2,23,34,00,329.10","95,884"
"10-Dec-2024","EQ","415.50","417.20","411.50","414.00","415.50","414.05","414.22","543.55","342.30","60,35,289","2,49,99,61,678.70","83,913"
