"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Sep-2024","EQ","297.15","301.90","295.30","297.15","299.00","298.95","298.84","340.50","127.00","1,79,37,646","5,36,05,22,038.45","1,69,249"
"03-Sep-2024","EQ","300.00","301.35","296.75","296.90","297.25","297.15","298.43","340.50","127.00","1,39,71,488","4,16,95,27,934.70","1,13,157"
"02-Sep-2024","EQ","301.95","301.95","295.05","299.30","296.85","296.90","297.16","340.50","127.00","1,17,13,172","3,48,06,54,200.95","1,58,631"
"30-Aug-2024","EQ","296.80","302.15","294.35","296.20","299.50","299.30","298.69","340.50","127.00","2,86,84,991","8,56,78,94,578.90","2,10,946"
"29-Aug-2024","EQ","299.35","301.05","292.10","299.95","296.80","296.20","296.06","340.50","127.00","1,91,85,385","5,67,99,35,752.25","3,02,454"
"28-Aug-2024","EQ","301.05","304.50","299.50","300.90","300.25","299.95","301.31","340.50","127.00","1,40,05,947","4,22,00,94,397.45","1,03,363"
"27-Aug-2024","EQ","306.60","307.45","299.60","306.70","301.15","300.90","303.65","340.50","127.00","1,68,73,099","5,12,35,32,403.85","1,41,651"
"26-Aug-2024","EQ","308.70","308.90","305.80","306.00","306.60","306.70","307.18","340.50","127.00","1,52,80,637","4,69,39,05,703.95","1,17,141"
"23-Aug-2024","EQ","305.50","309.20","304.10","304.50","306.10","306.00","306.76","340.50","127.00","2,18,91,698","6,71,53,92,732.40","1,41,433"
"22-Aug-2024","EQ","306.40","306.90","303.50","305.40","304.20","304.50","304.89","340.50","127.00","1,30,74,829","3,98,63,40,437.60","92,353"
"21-Aug-2024","EQ","303.00","306.75","302.55","303.15","306.30","305.40","304.31","340.50","127.00","1,18,62,616","3,60,98,89,376.15","98,031"
"20-Aug-2024","EQ","302.15","304.50","297.80","302.15","302.75","303.15","301.51","340.50","127.00","1,41,83,642","4,27,65,23,117.30","1,09,619"
"19-Aug-2024","EQ","304.80","305.55","301.10","303.30","302.50","302.15","303.35","340.50","127.00","1,22,32,725","3,71,08,01,334.15","1,07,693"
"16-Aug-2024","EQ","296.50","303.90","296.00","293.70","303.55","303.30","300.35","340.50","126.75","2,13,53,408","6,41,35,52,333.55","1,31,914"
"14-Aug-2024","EQ","296.15","297.05","290.65","296.15","294.65","293.70","293.70","340.50","126.75","1,66,41,055","4,88,74,01,137.35","1,30,227"
"13-Aug-2024","EQ","302.00","302.65","295.40","301.40","296.10","296.15","299.82","340.50","126.75","1,47,46,085","4,42,11,44,528.75","1,90,100"
"12-Aug-2024","EQ","299.00","303.65","298.25","302.20","301.30","301.40","301.52","340.50","126.75","1,53,61,379","4,63,18,12,090.35","1,78,931"
"09-Aug-2024","EQ","302.50","305.00","300.65","298.25","301.90","302.20","302.87","340.50","126.60","1,55,51,076","4,70,99,79,893.30","1,14,363"
"08-Aug-2024","EQ","301.00","302.70","297.15","300.20","297.80","298.25","299.38","340.50","126.60","2,19,63,656","6,57,55,58,038.15","1,51,421"
"07-Aug-2024","EQ","295.50","301.00","289.80","287.25","300.65","300.20","295.97","340.50","126.60","2,21,99,473","6,57,03,90,811.00","1,73,796"
"06-Aug-2024","EQ","292.00","302.60","286.35","290.25","287.80","287.25","293.76","340.50","126.60","3,91,71,936","11,50,72,76,878.70","3,41,869"
"05-Aug-2024","EQ","289.85","297.45","285.00","302.95","289.35","290.25","291.31","340.50","126.60","5,03,90,560","14,67,92,41,428.70","5,34,296"
"02-Aug-2024","EQ","305.30","308.70","301.70","311.15","303.15","302.95","304.78","340.50","123.50","2,61,55,604","7,97,17,22,287.35","2,85,981"
"01-Aug-2024","EQ","317.70","317.70","308.05","316.05","311.50","311.15","312.01","340.50","123.50","2,81,41,436","8,78,04,75,983.15","2,50,799"
"31-Jul-2024","EQ","319.90","320.60","315.45","318.10","316.30","316.05","317.09","340.50","123.50","2,57,09,971","8,15,22,64,097.05","2,00,287"
"30-Jul-2024","EQ","325.20","326.55","317.60","321.35","317.80","318.10","321.12","340.50","123.50","4,11,11,245","13,20,14,53,383.20","2,88,057"
"29-Jul-2024","EQ","312.80","325.60","310.85","309.90","321.30","321.35","318.88","340.50","123.50","5,13,91,698","16,38,76,95,590.30","3,63,672"
"26-Jul-2024","EQ","303.80","310.50","302.00","301.45","310.45","309.90","307.64","340.50","123.50","2,45,12,844","7,54,10,49,572.20","1,70,966"
"25-Jul-2024","EQ","297.95","303.40","293.40","300.10","302.00","301.45","299.59","340.50","123.50","2,78,20,556","8,33,48,16,259.05","2,23,174"
"24-Jul-2024","EQ","302.50","306.50","299.30","301.45","300.60","300.10","302.34","340.50","123.50","2,40,99,148","7,28,62,08,315.95","3,34,733"
"23-Jul-2024","EQ","317.00","317.00","281.10","312.30","301.50","301.45","302.55","340.50","123.50","7,65,13,131","23,14,87,88,750.85","5,88,743"
"22-Jul-2024","EQ","306.00","314.70","297.30","306.30","313.80","312.30","309.54","340.50","123.50","3,93,86,992","12,19,18,16,982.95","3,97,073"
"19-Jul-2024","EQ","309.90","316.90","305.00","313.55","306.80","306.30","309.28","340.50","123.50","4,33,13,606","13,39,60,81,276.45","3,70,871"
"18-Jul-2024","EQ","326.50","326.70","312.30","326.15","313.15","313.55","316.21","340.50","123.50","4,80,43,715","15,19,21,40,094.60","4,27,400"
"16-Jul-2024","EQ","333.25","334.40","324.50","331.40","326.40","326.15","328.69","340.50","123.50","2,65,85,927","8,73,84,53,755.30","2,27,205"
"15-Jul-2024","EQ","336.00","336.05","331.00","333.10","331.95","331.40","332.45","340.50","123.50","2,20,21,926","7,32,11,38,976.00","1,75,145"
"12-Jul-2024","EQ","336.90","337.50","328.10","335.50","331.50","333.10","333.48","340.50","122.50","2,45,17,961","8,17,63,54,799.70","2,17,819"
"11-Jul-2024","EQ","335.50","338.20","333.00","333.85","335.80","335.50","335.34","340.50","122.50","3,19,19,433","10,70,38,22,546.75","2,45,927"
"10-Jul-2024","EQ","340.00","340.50","324.15","334.80","334.00","333.85","333.25","340.50","122.50","4,67,79,965","15,58,92,57,255.45","3,92,471"
"09-Jul-2024","EQ","338.00","339.35","328.70","334.60","334.40","334.80","334.12","339.35","122.50","5,22,25,572","17,44,98,51,109.65","3,08,664"
"08-Jul-2024","EQ","328.45","335.80","325.60","324.05","335.50","334.60","331.65","335.80","122.50","7,09,83,243","23,54,17,40,324.15","3,88,249"
"05-Jul-2024","EQ","317.65","326.80","314.50","317.35","323.80","324.05","323.62","326.80","121.05","6,31,25,211","20,42,87,14,644.85","3,51,601"
"04-Jul-2024","EQ","317.40","318.50","313.05","314.50","317.50","317.35","316.64","323.00","121.05","3,55,91,681","11,26,97,64,851.85","2,00,616"
"03-Jul-2024","EQ","307.00","315.45","305.75","306.10","314.50","314.50","311.52","323.00","121.05","4,49,19,849","13,99,33,36,539.65","2,38,422"
"02-Jul-2024","EQ","309.00","309.00","303.00","307.65","305.80","306.10","305.90","323.00","121.05","2,39,74,162","7,33,38,11,257.05","1,49,202"
"01-Jul-2024","EQ","310.95","312.50","305.85","305.90","307.95","307.65","307.71","323.00","121.05","3,94,95,237","12,15,30,68,711.40","2,49,710"
"28-Jun-2024","EQ","306.00","309.80","302.75","304.50","309.35","305.90","305.07","323.00","117.90","2,42,56,902","7,40,00,69,766.15","1,76,389"
"27-Jun-2024","EQ","306.10","308.15","301.20","306.85","304.70","304.50","304.55","323.00","117.90","3,99,96,580","12,18,08,78,059.50","2,36,478"
"26-Jun-2024","EQ","310.00","311.50","305.85","309.70","306.85","306.85","308.38","323.00","117.90","2,42,38,007","7,47,44,35,049.85","2,15,676"
"25-Jun-2024","EQ","310.90","314.95","309.20","309.75","309.70","309.70","311.98","323.00","117.90","2,91,24,110","9,08,60,03,158.10","1,95,683"
"24-Jun-2024","EQ","304.80","311.90","297.45","304.95","310.00","309.75","308.58","323.00","117.90","3,91,39,609","12,07,75,22,015.50","2,77,524"
"21-Jun-2024","EQ","312.70","314.00","304.10","311.90","305.50","304.95","308.50","323.00","117.90","3,76,20,968","11,60,61,53,929.05","3,16,286"
"20-Jun-2024","EQ","309.80","313.35","302.25","309.30","312.05","311.90","309.72","323.00","117.90","3,95,05,506","12,23,55,02,735.65","2,42,233"
"19-Jun-2024","EQ","319.90","319.90","304.10","318.25","309.80","309.30","311.00","323.00","117.90","5,86,98,689","18,25,53,12,288.05","4,89,779"
"18-Jun-2024","EQ","313.00","321.00","312.25","309.60","318.25","318.25","317.57","323.00","117.90","6,48,59,245","20,59,76,34,274.60","4,13,084"
